# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  145       5.669694770719e-10       1.486118953919e-13      -6.122203728059e-12       0.000000000000e+00       3.708390318438e-12       6.611872879937e-13      -4.340864140250e-15 
  146       5.714886880196e-10       1.482335626155e-13      -6.141756433507e-12       0.000000000000e+00       3.636154028500e-12       6.509537081224e-13      -4.259472271182e-15 
  147       5.759883688154e-10       1.477921163493e-13      -6.158283907828e-12       0.000000000000e+00       3.565702328291e-12       6.407391605969e-13      -4.173062120924e-15 
  148       5.804671240393e-10       1.472883929169e-13      -6.171736910506e-12       0.000000000000e+00       3.496964094920e-12       6.305648182708e-13      -4.083460963390e-15 
  149       5.849236801993e-10       1.467233260640e-13      -6.182068417194e-12       0.000000000000e+00       3.429901595560e-12       6.205005344568e-13      -3.993030365747e-15 
  150       5.893567625798e-10       1.460979501568e-13      -6.189233052014e-12       0.000000000000e+00       3.364480245530e-12       6.106315532930e-13      -3.904369408913e-15 
  151       5.937650520734e-10       1.454134024435e-13      -6.193186917597e-12       0.000000000000e+00       3.300658041549e-12       6.010470345867e-13      -3.820213497174e-15 
  152       5.981471843079e-10       1.446709248191e-13      -6.193887635447e-12       0.000000000000e+00       3.238385398758e-12       5.918401136488e-13      -3.743436590804e-15 
  153       6.025017487724e-10       1.438718655914e-13      -6.191294386299e-12       0.000000000000e+00       3.177604987745e-12       5.831079611301e-13      -3.677053438691e-15 
  154       6.068273421209e-10       1.430176749284e-13      -6.185368043053e-12       0.000000000000e+00       3.118259722263e-12       5.749181167880e-13      -3.623138629584e-15 
