# Matter power spectrum P(k) at redshift z=0
# for k=1.03125e-05 to 1.72133 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.778995832047e-01       1.067337910567e+03 
       2.810717701227e-01       1.039852250518e+03 
       2.842439579638e-01       1.014038699327e+03 
       2.874161466974e-01       9.900808353034e+02 
       2.905883362941e-01       9.680117650865e+02 
       2.937605267257e-01       9.477289299692e+02 
       2.969327179654e-01       9.290513724156e+02 
       3.001049099874e-01       9.117311953835e+02 
       3.032771027670e-01       8.954882306254e+02 
       3.064492962806e-01       8.800332104376e+02 
       3.096214905055e-01       8.650742745561e+02 
       3.127936854199e-01       8.503527560334e+02 
       3.159658810030e-01       8.356410026516e+02 
       3.191380772348e-01       8.207743318602e+02 
       3.223102740959e-01       8.056651027578e+02 
       3.254824715680e-01       7.903095026436e+02 
       3.286546696331e-01       7.747640043362e+02 
       3.318268682744e-01       7.591515016025e+02 
       3.349990674752e-01       7.436096598921e+02 
       3.381712672198e-01       7.282889893370e+02 
       3.413434674929e-01       7.133204542028e+02 
       3.445156682799e-01       6.988209933931e+02 
       3.476878695667e-01       6.848868183496e+02 
       3.508600713396e-01       6.715889093592e+02 
       3.540322735855e-01       6.589649715823e+02 
       3.572044762917e-01       6.470234653873e+02 
       3.603766794461e-01       6.357249217874e+02 
       3.635488830369e-01       6.250050283304e+02 
       3.667210870526e-01       6.147637036944e+02 
       3.698932914823e-01       6.048948303450e+02 
       3.730654963155e-01       5.952948995334e+02 
       3.762377015418e-01       5.858801990840e+02 
       3.794099071513e-01       5.765830429280e+02 
       3.825821131345e-01       5.673629013368e+02 
       3.857543194822e-01       5.581914853437e+02 
       3.889265261853e-01       5.490562675398e+02 
       3.920987332352e-01       5.399583276644e+02 
       3.952709406235e-01       5.309096663101e+02 
       3.984431483422e-01       5.219390597384e+02 
       4.016153563833e-01       5.130861590720e+02 
       4.047875647392e-01       5.043933672591e+02 
       4.079597734026e-01       4.959068313405e+02 
       4.111319823663e-01       4.876574820115e+02 
       4.143041916235e-01       4.796645540711e+02 
       4.174764011673e-01       4.719327965260e+02 
       4.206486109912e-01       4.644605130580e+02 
       4.238208210891e-01       4.572371906805e+02 
       4.269930314547e-01       4.502500398030e+02 
       4.301652420820e-01       4.434856017417e+02 
       4.333374529654e-01       4.369263106190e+02 
       4.365096640992e-01       4.305492840487e+02 
       4.396818754780e-01       4.243259689698e+02 
       4.428540870964e-01       4.182274838637e+02 
       4.460262989495e-01       4.122263273075e+02 
       4.491985110321e-01       4.063026119041e+02 
       4.523707233394e-01       4.004451222364e+02 
       4.555429358668e-01       3.946526700149e+02 
       4.587151486096e-01       3.889273655042e+02 
       4.618873615633e-01       3.832755599102e+02 
       4.650595747237e-01       3.777001104401e+02 
       4.682317880866e-01       3.722116056121e+02 
       4.714040016478e-01       3.668120626015e+02 
       4.745762154033e-01       3.615142869094e+02 
       4.777484293493e-01       3.563274179292e+02 
       4.809206434820e-01       3.512654021411e+02 
       4.840928577977e-01       3.463327985787e+02 
       4.872650722928e-01       3.415348826764e+02 
       4.904372869638e-01       3.368657578572e+02 
       4.936095018073e-01       3.323160445325e+02 
       4.967817168201e-01       3.278745769906e+02 
       4.999539319988e-01       3.235297328639e+02 
       5.031261473403e-01       3.192706439101e+02 
       5.062983628416e-01       3.150927349500e+02 
       5.094705784996e-01       3.109886663024e+02 
       5.126427943115e-01       3.069513329587e+02 
       5.158150102743e-01       3.029758970223e+02 
       5.189872263854e-01       2.990534839835e+02 
       5.221594426420e-01       2.951831750063e+02 
       5.253316590415e-01       2.913614324127e+02 
       5.285038755812e-01       2.875955939658e+02 
       5.316760922587e-01       2.838864002717e+02 
       5.348483090715e-01       2.802425298024e+02 
       5.380205260172e-01       2.766643917109e+02 
       5.411927430935e-01       2.731566391337e+02 
       5.443649602980e-01       2.697130034671e+02 
       5.475371776286e-01       2.663353661664e+02 
       5.507093950830e-01       2.630203530382e+02 
       5.538816126591e-01       2.597693466208e+02 
       5.570538303549e-01       2.565823606595e+02 
       5.602260481683e-01       2.534593851315e+02 
       5.633982660973e-01       2.503981216814e+02 
       5.665704841399e-01       2.473938974853e+02 
       5.697427022943e-01       2.444414074665e+02 
       5.729149205585e-01       2.415372872980e+02 
       5.760871389309e-01       2.386765945181e+02 
       5.792593574095e-01       2.358592822517e+02 
       5.824315759927e-01       2.330856575133e+02 
       5.856037946787e-01       2.303555789042e+02 
       5.887760134659e-01       2.276674420131e+02 
       5.919482323526e-01       2.250212657611e+02 
       5.951204513373e-01       2.224127673476e+02 
       5.982926704184e-01       2.198414425826e+02 
       6.014648895944e-01       2.173068764627e+02 
       6.046371088637e-01       2.148107726431e+02 
       6.078093282249e-01       2.123559736052e+02 
       6.109815476765e-01       2.099429410656e+02 
       6.141537672172e-01       2.075719888173e+02 
       6.173259868456e-01       2.052419840329e+02 
       6.204982065604e-01       2.029507734678e+02 
       6.563727112783e-01       1.793921829383e+02 
       6.993887145310e-01       1.558599532431e+02 
       7.534034232938e-01       1.320224383453e+02 
       8.258644798808e-01       1.073621733865e+02 
       9.322751319673e-01       8.147126935525e+01 
       1.103052573768e+00       5.525412940938e+01 
       1.368333694654e+00       3.331446111608e+01 
       1.721326049778e+00       1.925459739928e+01 
